episode,score,global_step,avg_loss,step
728,0.0,118670,0.0031427565484943533,124
729,2.0,118891,0.0028962704805053363,221
730,5.0,119207,0.0027518339002127403,316
731,4.0,119494,0.0028121081439464912,287
732,4.0,119759,0.0029110175759222263,265
733,0.0,119877,0.003036396735863383,118
734,0.0,119999,0.0029309352706030816,122
735,2.0,120182,0.0030056710589370034,183
736,0.0,120288,0.0025095059805813813,106
737,2.0,120496,0.0028439789140008997,208
738,1.0,120668,0.0029032036141278545,172
739,4.0,120947,0.0030417841783259795,279
740,0.0,121054,0.002743380922540688,107
741,0.0,121179,0.002805406799314369,125
742,1.0,121325,0.002622153357553344,146
743,2.0,121498,0.002900348643232201,173
744,0.0,121619,0.0023100650463757947,121
745,0.0,121719,0.0024112362559117174,100
746,1.0,121894,0.002411105772950707,175
747,1.0,122080,0.0023879600312039823,186
748,0.0,122212,0.0024964821329280257,132
749,1.0,122366,0.002914770516690033,154
750,3.0,122592,0.0032051312741472895,226
751,0.0,122710,0.0027841104308779104,118
752,1.0,122878,0.0029012280679694413,168
753,0.0,123000,0.0026760047342942596,122
754,2.0,123198,0.002521593721219302,198
755,1.0,123362,0.002891976123400926,164
756,1.0,123537,0.0027086698469403407,175
757,2.0,123730,0.0025526077080652554,193
